path,split,style,macro,tags_clean,pic_name,user_name
D:\leo\dataset_teste\robisto\chictopia\deathbyplatforms\7174.jpg,train,casual,CASUAL_BASICO,"light yellow,ala celine,made u look purse,hot pink,high waist geometric print,shorts,brown,number on",7174.jpg,deathbyplatforms
D:\leo\dataset_teste\robisto\chictopia\Badman\82888.jpg,train,trendy,TRENDY_ECLECTIC,"h&m top,zara pants,vintage bag,",82888.jpg,Badman
D:\leo\dataset_teste\robisto\chictopia\itsalanli\163972.jpg,train,eclectic,TRENDY_ECLECTIC,"gray,malene birger dress,pink,h&m cardigan,black,vagabond boots,gold,pilgrim necklace,beige,??? belt",163972.jpg,itsalanli
D:\leo\dataset_teste\robisto\chictopia\Berwanger\127404.jpg,train,classic,CASUAL_BASICO,"brown,pumps,michael kors shoes,",127404.jpg,Berwanger
D:\leo\dataset_teste\robisto\chictopia\camren103\151559.jpg,train,bohemian,EXPRESSIVE,"ivory,vila top,black,persunmall skirt,",151559.jpg,camren103
D:\leo\dataset_teste\robisto\chictopia\Dana_Nico2\12283.jpg,train,casual,CASUAL_BASICO,"mirrorless camera,ideer bag,",12283.jpg,Dana_Nico2
D:\leo\dataset_teste\robisto\chictopia\VIRVIN\104974.jpg,train,urban,TRENDY_ECLECTIC,"blue,zara shoes,white,ray ban sunglasses,blue,vintage virvin top,white,donna karan skirt,",104974.jpg,VIRVIN
D:\leo\dataset_teste\robisto\chictopia\elekesnm\239301.jpg,train,comfortable,CASUAL_BASICO,"army green,unknown brand shirt,",239301.jpg,elekesnm
D:\leo\dataset_teste\robisto\chictopia\junebabie\144357.jpg,train,bohemian,EXPRESSIVE,"purple,h&m dress,blue,h&m vest,beige tights,yellow boots,",144357.jpg,junebabie
D:\leo\dataset_teste\robisto\chictopia\nobz\42575.jpg,train,urban,TRENDY_ECLECTIC,"vintage america jeans,one way sweater,",42575.jpg,nobz
D:\leo\dataset_teste\robisto\chictopia\zeezai\239554.jpg,train,elegant,CHIC_ROMANTIC,"orange,bcbg dress,gold bracelet,gray,suede peep toe pump,banana republic shoes,black,clutch,banana r",239554.jpg,zeezai
D:\leo\dataset_teste\robisto\chictopia\CaraJ\25201.jpg,train,casual,CASUAL_BASICO,"white,cotton,jacob dress,purple,ankle socks,urban outfitters socks,eggshell,with ankle strap,lauren",25201.jpg,CaraJ
D:\leo\dataset_teste\robisto\chictopia\Q2HAN\162953.jpg,train,romantic,CHIC_ROMANTIC,"evening- prom dress,vponsale dress,",162953.jpg,Q2HAN
D:\leo\dataset_teste\robisto\chictopia\samsnow\140766.jpg,train,eclectic,TRENDY_ECLECTIC,"blue,studs, navy,silence & noise dress,red,target tights,red,elf toes, pumps,aldo shoes,red,tartan,",140766.jpg,samsnow
D:\leo\dataset_teste\robisto\chictopia\EditaOmar\49170.jpg,train,urban,TRENDY_ECLECTIC,"white,cross beaded linen,vintage blazer,black,leather high waisted,vintage shorts,neutral,crocheted",49170.jpg,EditaOmar
D:\leo\dataset_teste\robisto\chictopia\chocolatebuttons\198876.jpg,train,romantic,CHIC_ROMANTIC,"beige,done by me,mine!!!!!!!!!! dress,",198876.jpg,chocolatebuttons
D:\leo\dataset_teste\robisto\chictopia\amelie240\20332.jpg,train,eclectic,TRENDY_ECLECTIC,"black,studded,miu miu boots,black,duffle,asos bag,carrot orange,patent,asos skirt,white,oversized,h&",20332.jpg,amelie240
D:\leo\dataset_teste\robisto\chictopia\amelie240\14155.jpg,train,rocker,EXPRESSIVE,"black,dr. martens boots,light orange,forever 21 shirt,heather gray,american apparel shorts,black,que",14155.jpg,amelie240
D:\leo\dataset_teste\robisto\chictopia\carlymaddox\55021.jpg,train,bohemian,EXPRESSIVE,"black,floral dress,forever 21 dress,tan,chunky scarf,forever 21 scarf,",55021.jpg,carlymaddox
